SERIES_CONTEXT_SCHEMA_VERSION,SEASON,GAME_ID,GAME_DATE,TEAM_A_ID,TEAM_A,TEAM_B_ID,TEAM_B,TEAM_A_WON,game_number,series_score_diff,team_a_series_wins,team_b_series_wins,team_a_elimination_game,team_b_elimination_game,team_a_home,team_a_trailing_series,team_a_leading_series,previous_game_winner,previous_game_margin,team_a_recent_series_wins,team_b_recent_series_wins,team_a_road_wins_in_series,team_b_road_wins_in_series,team_a_home_losses_in_series,team_b_home_losses_in_series
2026-06-11-series-context-v1,2015-16,41500172,2016-04-20,1610612746,LAC,1610612757,POR,1,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500173,2016-04-23,1610612746,LAC,1610612757,POR,0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500174,2016-04-25,1610612746,LAC,1610612757,POR,0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,-8.0,2.0,1.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500175,2016-04-27,1610612746,LAC,1610612757,POR,0,5.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,-1.0,-14.0,1.0,2.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500176,2016-04-29,1610612746,LAC,1610612757,POR,0,6.0,-1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,-1.0,-10.0,0.0,3.0,0.0,1.0,1.0,0.0
2026-06-11-series-context-v1,2015-16,41500121,2016-04-17,1610612748,MIA,1610612766,CHA,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500122,2016-04-20,1610612748,MIA,1610612766,CHA,1,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500123,2016-04-23,1610612748,MIA,1610612766,CHA,0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500124,2016-04-25,1610612748,MIA,1610612766,CHA,0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,-16.0,2.0,1.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500125,2016-04-27,1610612748,MIA,1610612766,CHA,0,5.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,-1.0,-4.0,1.0,2.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500126,2016-04-29,1610612748,MIA,1610612766,CHA,1,6.0,-1.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,-1.0,-2.0,0.0,3.0,0.0,1.0,1.0,0.0
2026-06-11-series-context-v1,2015-16,41500127,2016-05-01,1610612748,MIA,1610612766,CHA,1,7.0,0.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,7.0,1.0,2.0,1.0,1.0,1.0,1.0
2026-06-11-series-context-v1,2015-16,41500151,2016-04-17,1610612759,SAS,1610612763,MEM,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500152,2016-04-19,1610612759,SAS,1610612763,MEM,1,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500153,2016-04-22,1610612759,SAS,1610612763,MEM,1,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,26.0,2.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500154,2016-04-24,1610612759,SAS,1610612763,MEM,1,4.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,9.0,3.0,0.0,1.0,0.0,0.0,1.0
2026-06-11-series-context-v1,2015-16,41500101,2016-04-17,1610612739,CLE,1610612765,DET,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500102,2016-04-20,1610612739,CLE,1610612765,DET,1,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500103,2016-04-22,1610612739,CLE,1610612765,DET,1,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500104,2016-04-24,1610612739,CLE,1610612765,DET,1,4.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,10.0,3.0,0.0,1.0,0.0,0.0,1.0
2026-06-11-series-context-v1,2015-16,41500231,2016-04-30,1610612759,SAS,1610612760,OKC,1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500232,2016-05-02,1610612759,SAS,1610612760,OKC,0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,32.0,1.0,0.0,0.0,0.0,0.0,0.0
2026-06-11-series-context-v1,2015-16,41500233,2016-05-06,1610612759,SAS,1610612760,OKC,1,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0
