model,train_seasons,test_seasons,train_rows,test_rows,missing_feature_values_train,missing_feature_values_test,accuracy,roc_auc,brier_score,log_loss,precision,recall,f1
Logistic Regression,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0,0,0.6265060240963856,0.6864468864468865,0.22237897552471228,0.6335795535603349,0.6629213483146067,0.6483516483516484,0.6555555555555556
AdaBoost,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0,0,0.6385542168674698,0.6852014652014652,0.2334203545213866,0.659655135549619,0.6741573033707865,0.6593406593406593,0.6666666666666666
Extra Trees,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0,0,0.6445783132530121,0.6811721611721611,0.22609251033199104,0.6432597775203592,0.6818181818181818,0.6593406593406593,0.6703910614525139
SVC,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0,0,0.6626506024096386,0.6731135531135531,0.22838686535432012,0.64917301674929,0.6923076923076923,0.6923076923076923,0.6923076923076923
Random Forest,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0,0,0.6445783132530121,0.6682783882783883,0.22984955719466196,0.6534661935263473,0.7,0.6153846153846154,0.6549707602339181
Gradient Boosting,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0,0,0.608433734939759,0.660952380952381,0.23775998232274798,0.6847450039202535,0.63,0.6923076923076923,0.6596858638743456
KNN,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",668,166,0,0,0.5963855421686747,0.6078388278388278,0.2649373002212933,1.3063553138010442,0.6463414634146342,0.5824175824175825,0.6127167630057804
