model,model_type,calibration_method,train_seasons,test_seasons,feature_set,prediction_context_mode,n_features,features,train_rows,test_rows,accuracy,roc_auc,brier_score,log_loss,precision,recall,f1,expected_calibration_error,bin_index,bin_lower,bin_upper,bin_count,mean_predicted_probability,observed_win_rate,calibration_gap
Extra Trees,Extra Trees,raw,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6769230769230768,0.23067657441735334,0.6553126555222476,0.6632653061224489,0.7142857142857143,0.6878306878306878,0.09049087676703407,1,0.0,0.1,0,,,
Extra Trees,Extra Trees,raw,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6769230769230768,0.23067657441735334,0.6553126555222476,0.6632653061224489,0.7142857142857143,0.6878306878306878,0.09049087676703407,2,0.1,0.2,11,0.18444357541831916,0.45454545454545453,0.27010187912713535
Extra Trees,Extra Trees,raw,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6769230769230768,0.23067657441735334,0.6553126555222476,0.6632653061224489,0.7142857142857143,0.6878306878306878,0.09049087676703407,3,0.2,0.30000000000000004,9,0.2550651613319865,0.3333333333333333,0.07826817200134684
Extra Trees,Extra Trees,raw,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6769230769230768,0.23067657441735334,0.6553126555222476,0.6632653061224489,0.7142857142857143,0.6878306878306878,0.09049087676703407,4,0.30000000000000004,0.4,38,0.3500258959994591,0.42105263157894735,0.07102673557948824
Extra Trees,Extra Trees,raw,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6769230769230768,0.23067657441735334,0.6553126555222476,0.6632653061224489,0.7142857142857143,0.6878306878306878,0.09049087676703407,5,0.4,0.5,10,0.4532941364573421,0.2,0.2532941364573421
Extra Trees,Extra Trees,raw,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6769230769230768,0.23067657441735334,0.6553126555222476,0.6632653061224489,0.7142857142857143,0.6878306878306878,0.09049087676703407,6,0.5,0.6000000000000001,18,0.5399328588102554,0.5,0.039932858810255434
Extra Trees,Extra Trees,raw,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6769230769230768,0.23067657441735334,0.6553126555222476,0.6632653061224489,0.7142857142857143,0.6878306878306878,0.09049087676703407,7,0.6000000000000001,0.7000000000000001,23,0.665954023278765,0.6086956521739131,0.05725837110485188
Extra Trees,Extra Trees,raw,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6769230769230768,0.23067657441735334,0.6553126555222476,0.6632653061224489,0.7142857142857143,0.6878306878306878,0.09049087676703407,8,0.7000000000000001,0.8,30,0.7398143223807223,0.7,0.039814322380722356
Extra Trees,Extra Trees,raw,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6769230769230768,0.23067657441735334,0.6553126555222476,0.6632653061224489,0.7142857142857143,0.6878306878306878,0.09049087676703407,9,0.8,0.9,23,0.8493553060017358,0.7391304347826086,0.11022487121912716
Extra Trees,Extra Trees,raw,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25",baseline_plus_corrected_signs,Current Hypothetical,11,"OFF_RATING_DIFF,DEF_RATING_DIFF,NET_RATING_DIFF,W_PCT_DIFF,PLUS_MINUS_DIFF,PACE_DIFF,home_team_A,clipped_home_win_pct_diff,clipped_away_win_pct_diff,seed_difference,higher_seed_A",668,166,0.6445783132530121,0.6769230769230768,0.23067657441735334,0.6553126555222476,0.6632653061224489,0.7142857142857143,0.6878306878306878,0.09049087676703407,10,0.9,1.0,4,0.9128354237836791,1.0,0.0871645762163209
