model,accuracy,roc_auc,brier_score,log_loss,precision,recall,f1,train_seasons,blend_train_seasons,test_seasons
base_only,0.6445783132530121,0.7002930402930403,0.22293845111763866,0.6375727322537904,0.6666666666666666,0.7032967032967034,0.6844919786096256,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25"
series_context_only,0.5843373493975904,0.6056410256410256,0.24136446579543133,0.6767996487934668,0.61,0.6703296703296703,0.6387434554973822,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25"
blended,0.6204819277108434,0.6643956043956044,0.22753000564282874,0.6469293888226222,0.6372549019607843,0.7142857142857143,0.6735751295336787,"2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23","2018-19,2019-20,2020-21,2021-22,2022-23","2023-24,2024-25"
